iteration,l1_loss,ssim,total_loss,ema_loss,num_gaussians
32900,0.0916142,0.6125542,0.2099468,0.1872230,1013415
33000,0.0692820,0.6983026,0.1622481,0.1651849,1013415
33100,0.0869144,0.6214681,0.2035614,0.1864601,1013415
33200,0.0723441,0.7283680,0.1520593,0.1976238,1013415
33300,0.0702196,0.7728162,0.1330053,0.1764469,1127957
33400,0.0747383,0.6152281,0.1987518,0.2014777,1127957
33500,0.0923565,0.5831885,0.2221385,0.2074803,1127957
33600,0.0891159,0.6459445,0.1950917,0.1898807,1127957
33700,0.0606898,0.7380315,0.1412013,0.1779426,1127957
33800,0.1041289,0.3722248,0.3135874,0.2238511,1127957
33900,0.0709260,0.7074205,0.1595874,0.1603404,1127957
34000,0.0652965,0.7215689,0.1505503,0.1655691,1127957
34100,0.1014251,0.3713832,0.3123018,0.2614076,1127957
34200,0.0744943,0.6728976,0.1755375,0.1827488,1127957
34300,0.0910749,0.6863796,0.1800931,0.1819957,1127957
34400,0.0786655,0.7270426,0.1563822,0.2069019,1127957
34500,0.0903414,0.7224138,0.1652393,0.1596578,1127957
34600,0.0748027,0.7385587,0.1494582,0.1923300,1127957
34700,0.1021816,0.4562167,0.2788223,0.2240518,1127957
34800,0.0537070,0.8371543,0.0973625,0.1474445,1127957
34900,0.0647066,0.6861301,0.1643719,0.1996318,1127957
35000,0.0805990,0.7396618,0.1524947,0.1855527,1127957
35100,0.0682898,0.7634757,0.1355836,0.1693383,1127957
35200,0.0561570,0.7988924,0.1141372,0.1800471,1127957
35300,0.0692207,0.6447083,0.1836491,0.1813280,1127957
35400,0.0420105,0.8416404,0.0885502,0.1228077,1127957
35500,0.0684225,0.7119714,0.1562650,0.1863539,1229133
35600,0.0677951,0.6364705,0.1860889,0.1843628,1229133
35700,0.0694606,0.7513239,0.1411468,0.1808770,1229133
35800,0.0450243,0.8197876,0.0990995,0.1609327,1229133
35900,0.0931978,0.6218044,0.2071969,0.1856826,1229133
36000,0.0970377,0.5405151,0.2420166,0.1818513,1229133
36100,0.0961852,0.6267434,0.2070138,0.1798718,1229133
36200,0.0993771,0.6198844,0.2116725,0.2400437,1229133
36300,0.0731862,0.7045382,0.1620964,0.1869040,1229133
36400,0.1048753,0.4316732,0.2902559,0.1994292,1229133
36500,0.0841340,0.8377680,0.1153732,0.1522114,1229133
36600,0.0492097,0.8473355,0.0905916,0.1748172,1229133
36700,0.0993534,0.5304559,0.2474297,0.1890735,1229133
36800,0.0455042,0.7364565,0.1327199,0.1771993,1229133
36900,0.0853740,0.7096694,0.1673567,0.1490111,1229133
37000,0.1089147,0.3595225,0.3215398,0.2234750,1229133
37100,0.0537464,0.8053862,0.1100934,0.1451237,1229133
37200,0.0811320,0.7246792,0.1588075,0.1812405,1229133
37300,0.0455598,0.8322852,0.0944218,0.1460645,1229133
37400,0.1028556,0.5193971,0.2539546,0.2310974,1229133
37500,0.0974735,0.6678490,0.1913445,0.1508980,1229133
37600,0.1010916,0.5934405,0.2232788,0.1940535,1229133
37700,0.0877806,0.6996396,0.1728126,0.1626284,1347382
37800,0.1126561,0.5523020,0.2466729,0.2158586,1347382
37900,0.0925437,0.5912948,0.2190083,0.1928326,1347382
38000,0.0882577,0.6164620,0.2063698,0.2058802,1347382
38100,0.0830346,0.7364385,0.1552454,0.1809295,1347382
38200,0.1029283,0.4083403,0.2984208,0.2467097,1347382
38300,0.0982890,0.6293422,0.2072365,0.1978782,1347382
38400,0.0470504,0.8394570,0.0924474,0.1339191,1347382
38500,0.0578683,0.7560792,0.1322893,0.1697400,1347382
38600,0.0742495,0.6474465,0.1855711,0.1937060,1347382
38700,0.0928353,0.6420935,0.1988638,0.1706758,1347382
38800,0.0329224,0.8401504,0.0836933,0.1425221,1347382
38900,0.0903407,0.6059982,0.2118051,0.1880163,1347382
39000,0.0571375,0.6025610,0.1932581,0.1856481,1347382
39100,0.1003032,0.6824705,0.1871937,0.1928126,1347382
39200,0.0671102,0.7207465,0.1519675,0.1694154,1347382
39300,0.0869490,0.5439464,0.2345908,0.2380027,1347382
39400,0.0941537,0.7489080,0.1569290,0.1767993,1347382
39500,0.1036413,0.3775918,0.3111480,0.2427505,1347382
39600,0.0713770,0.7299371,0.1508514,0.1489149,1347382
39700,0.1016300,0.4970579,0.2621549,0.2533786,1347382
39800,0.1112336,0.3926423,0.3096833,0.2270401,1347382
39900,0.0613235,0.7428145,0.1396683,0.2043315,1411642
40000,0.1596811,0.7314789,0.2032171,0.1886717,1411642
40100,0.0828404,0.6174577,0.2027211,0.1807078,1411642
40200,0.0687893,0.7284212,0.1499051,0.1260285,1411642
40300,0.1029997,0.5892816,0.2260872,0.1728566,1411642
40400,0.0880063,0.5796592,0.2209401,0.2078137,1411642
40500,0.1023759,0.6746329,0.1915724,0.1515580,1411642
40600,0.1032693,0.6026564,0.2208990,0.2407141,1411642
40700,0.0593656,0.8572171,0.0927325,0.1584746,1411642
40800,0.1884751,0.5836440,0.2796274,0.2290678,1411642
40900,0.1080519,0.7007457,0.1845329,0.1939908,1411642
41000,0.0881174,0.8057489,0.1305709,0.1542446,1411642
41100,0.0825553,0.6894125,0.1737682,0.1861600,1411642
41200,0.0456053,0.8330135,0.0941578,0.1495664,1411642
41300,0.0958942,0.6799836,0.1855431,0.1870029,1411642
41400,0.1072677,0.4565798,0.2817287,0.2514651,1411642
41500,0.0514086,0.8025576,0.1098221,0.1516327,1411642
41600,0.1003532,0.5523513,0.2392714,0.2199848,1411642
41700,0.0779669,0.7345079,0.1529770,0.1702526,1411642
41800,0.1034117,0.7375755,0.1670168,0.1366075,1411642
41900,0.1175179,0.6602945,0.2063930,0.1933538,1411642
42000,0.0967320,0.5431381,0.2407839,0.1993555,1411642
42100,0.1199648,0.8444559,0.1341965,0.1810018,1411642
42200,0.0792887,0.6584764,0.1841827,0.1700718,1439799
42300,0.0639747,0.7393771,0.1426339,0.1691453,1439799
42400,0.1019262,0.4441013,0.2835152,0.2051600,1439799
42500,0.0558416,0.7693675,0.1257580,0.1600412,1439799
42600,0.1002041,0.4066083,0.2974792,0.2233926,1439799
42700,0.0781606,0.6149917,0.2008997,0.1959833,1439799
42800,0.0904183,0.5310938,0.2418135,0.2269971,1439799
42900,0.1529890,0.6772540,0.2208918,0.1929306,1439799
43000,0.0720269,0.6341050,0.1895742,0.1872618,1439799
43100,0.0834339,0.4110209,0.2856520,0.2220142,1439799
43200,0.0509512,0.8278785,0.0994193,0.1269339,1439799
43300,0.0887538,0.7036727,0.1717832,0.1900810,1439799
43400,0.0721426,0.7333394,0.1499498,0.1538485,1439799
43500,0.0996534,0.6699547,0.1918102,0.1954546,1439799
43600,0.1560720,0.6279964,0.2424447,0.2315237,1439799
43700,0.0517570,0.7413951,0.1344962,0.1559039,1439799
43800,0.0785880,0.6746511,0.1772924,0.1880644,1439799
43900,0.0695041,0.7276250,0.1506524,0.1496151,1439799
44000,0.0818279,0.6576228,0.1860476,0.1846671,1439799
44100,0.0973635,0.6403601,0.2022741,0.1539636,1439799
44200,0.0958477,0.5869315,0.2227360,0.2172489,1439799
44300,0.0528391,0.7358785,0.1373521,0.1834853,1439799
44400,0.0690425,0.7438415,0.1438889,0.1950019,1492940
44500,0.0341022,0.8391987,0.0847819,0.1940404,1492940
44600,0.0736067,0.7403208,0.1480357,0.1639305,1492940
44700,0.0498919,0.8176180,0.1028880,0.1576756,1492940
44800,0.0597431,0.7607802,0.1315338,0.1462428,1492940
44900,0.0976427,0.5937133,0.2211003,0.1880737,1492940
45000,0.0886171,0.4763486,0.2626308,0.2031552,1492940
45100,0.0642544,0.7605726,0.1343236,0.1275687,1492940
45200,0.1192453,0.3206531,0.3432859,0.2069095,1492940
45300,0.0828856,0.6014679,0.2091442,0.2040668,1492940
45400,0.1038318,0.7486898,0.1628232,0.1953885,1492940
45500,0.1081954,0.5898468,0.2289785,0.2028055,1492940
45600,0.0538094,0.7833912,0.1189292,0.1461372,1492940
